,fips_code,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Hospitals,Local_Hospital
954,20135,0.0,0.0,0.0,0.0,0.0,no
955,20137,0.0,0.0,0.0,0.0,0.0,no
956,20139,0.0,0.0,0.0,0.0,0.0,no
957,20141,0.0,0.0,0.0,0.0,0.0,no
958,20143,0.0,0.0,0.0,0.0,0.0,no
959,20145,0.0,0.0,0.0,0.0,0.0,no
960,20147,0.0,0.0,0.0,0.0,0.0,no
961,20149,0.0,0.0,0.0,0.0,0.0,no
962,20151,35.0,1312.0,4331.0,112680.0,1.0,yes
963,20153,0.0,0.0,0.0,0.0,0.0,no
964,20155,182.0,4474.0,17422.0,569225.0,2.0,yes
965,20157,0.0,0.0,0.0,0.0,0.0,no
966,20159,0.0,0.0,0.0,0.0,0.0,no
967,20161,107.0,3972.0,15210.0,462845.0,2.0,yes
968,20163,0.0,0.0,0.0,0.0,0.0,no
969,20165,0.0,0.0,0.0,0.0,0.0,no
970,20167,0.0,0.0,0.0,0.0,0.0,no
971,20169,223.0,7974.0,30510.0,745185.0,2.0,yes
972,20171,0.0,0.0,0.0,0.0,0.0,no
973,20173,1511.0,70257.0,366242.0,9748600.0,10.0,yes
974,20175,71.0,2512.0,10533.0,231777.0,1.0,yes
975,20177,702.0,28260.0,127718.0,3862141.0,4.0,yes
976,20179,0.0,0.0,0.0,0.0,0.0,no
977,20181,0.0,0.0,0.0,0.0,0.0,no
978,20183,0.0,0.0,0.0,0.0,0.0,no
979,20185,0.0,0.0,0.0,0.0,0.0,no
980,20187,0.0,0.0,0.0,0.0,0.0,no
981,20189,0.0,0.0,0.0,0.0,0.0,no
982,20191,0.0,0.0,0.0,0.0,1.0,yes
983,20193,0.0,0.0,0.0,0.0,0.0,no
984,20195,0.0,0.0,0.0,0.0,0.0,no
985,20197,0.0,0.0,0.0,0.0,0.0,no
986,20199,0.0,0.0,0.0,0.0,0.0,no
987,20201,0.0,0.0,0.0,0.0,0.0,no
988,20203,0.0,0.0,0.0,0.0,0.0,no
989,20205,0.0,0.0,0.0,0.0,0.0,no
990,20207,0.0,0.0,0.0,0.0,0.0,no
991,20209,1190.0,48504.0,279461.0,11817265.0,2.0,yes
992,21001,49.0,198.0,813.0,45559.0,1.0,yes
993,21003,0.0,0.0,0.0,0.0,0.0,no
994,21005,0.0,0.0,0.0,0.0,0.0,no
995,21007,0.0,0.0,0.0,0.0,0.0,no
996,21009,128.0,4318.0,19494.0,548145.0,1.0,yes
997,21011,0.0,0.0,0.0,0.0,0.0,no
998,21013,103.0,1861.0,8367.0,237509.0,2.0,yes
999,21015,150.0,8259.0,37889.0,578558.0,1.0,yes
1000,21017,58.0,1047.0,4948.0,162062.0,1.0,yes
1001,21019,367.0,18047.0,87027.0,2349649.0,1.0,yes
1002,21021,164.0,5737.0,28882.0,666058.0,1.0,yes
1003,21023,0.0,0.0,0.0,0.0,0.0,no
1004,21025,49.0,1507.0,5283.0,231489.0,1.0,yes
1005,21027,0.0,0.0,0.0,0.0,0.0,no
1006,21029,0.0,0.0,0.0,0.0,0.0,no
1007,21031,0.0,0.0,0.0,0.0,0.0,no
1008,21033,0.0,0.0,0.0,0.0,0.0,no
1009,21035,123.0,3191.0,15860.0,517735.0,1.0,yes
1010,21037,157.0,6311.0,30484.0,424442.0,1.0,yes
1011,21039,0.0,0.0,0.0,0.0,0.0,no
1012,21041,0.0,0.0,0.0,0.0,0.0,no
1013,21043,0.0,0.0,0.0,0.0,0.0,no
1014,21045,0.0,0.0,0.0,0.0,0.0,no
1015,21047,135.0,3898.0,19042.0,559463.0,1.0,yes
1016,21049,79.0,3673.0,13591.0,693920.0,1.0,yes
1017,21051,49.0,1442.0,7895.0,264202.0,1.0,yes
1018,21053,20.0,263.0,1096.0,42945.0,1.0,yes
1019,21055,48.0,379.0,1335.0,40231.0,1.0,yes
1020,21057,0.0,0.0,0.0,0.0,0.0,no
1021,21059,352.0,13421.0,72062.0,1834598.0,1.0,yes
1022,21061,0.0,0.0,0.0,0.0,0.0,no
1023,21063,0.0,0.0,0.0,0.0,0.0,no
1024,21065,0.0,0.0,0.0,0.0,0.0,no
1025,21067,2032.0,82872.0,526028.0,13843984.0,8.0,yes
1026,21069,0.0,0.0,0.0,0.0,0.0,no
1027,21071,170.0,3668.0,19306.0,520551.0,1.0,yes
1028,21073,126.0,5727.0,28961.0,781893.0,1.0,yes
1029,21075,0.0,0.0,0.0,0.0,0.0,no
1030,21077,0.0,0.0,0.0,0.0,0.0,no
1031,21079,0.0,0.0,0.0,0.0,0.0,no
1032,21081,0.0,0.0,0.0,0.0,0.0,no
1033,21083,107.0,3805.0,18607.0,549014.0,1.0,yes
1034,21085,49.0,1594.0,7014.0,160697.0,1.0,yes
1035,21087,0.0,0.0,0.0,0.0,0.0,no
1036,21089,0.0,0.0,0.0,0.0,0.0,no
1037,21091,0.0,0.0,0.0,0.0,0.0,no
1038,21093,262.0,11527.0,60493.0,2045466.0,1.0,yes
1039,21095,103.0,2806.0,11250.0,312355.0,1.0,yes
1040,21097,34.0,1392.0,5413.0,203219.0,1.0,yes
1041,21099,0.0,0.0,0.0,0.0,0.0,no
1042,21101,118.0,3369.0,12806.0,386132.0,1.0,yes
1043,21103,0.0,0.0,0.0,0.0,0.0,no
1044,21105,0.0,0.0,0.0,0.0,0.0,no
1045,21107,159.0,5703.0,33005.0,1209819.0,1.0,yes
1046,21109,0.0,0.0,0.0,0.0,0.0,no
1047,21111,3678.0,175469.0,857101.0,20416783.0,9.0,yes
1048,21113,0.0,0.0,0.0,0.0,0.0,no
1049,21115,47.0,1513.0,5975.0,196957.0,1.0,yes
1050,21117,525.0,28164.0,144756.0,2681356.0,2.0,yes
1051,21119,0.0,0.0,0.0,0.0,0.0,no
1052,21121,0.0,0.0,0.0,0.0,0.0,no
1053,21123,0.0,0.0,0.0,0.0,0.0,no
1054,21125,122.0,5856.0,31580.0,769860.0,1.0,yes
1055,21127,84.0,1567.0,6975.0,345206.0,1.0,yes
